query,RDD,DataFrame,SQL
Partition_fullscan,,0.328,
Partition_pruned,,1.128,
Q10_sortmerge_join,38.773,8.853,8.198
Q11_root_cause,30.012,4.394,3.688
Q12_anomaly,35.298,6.366,5.082
Q1_filter,22.733,4.573,4.023
Q2_aggregate,27.175,4.341,3.563
Q2_cache_cold,,5.082,
Q2_cache_warm,,0.376,
Q3_format_csv,,5.82,
Q3_format_parquet,,1.02,
Q3_multi_group,26.627,5.065,4.825
Q3_shuffle_200,,0.52,
Q3_shuffle_400,,0.575,
Q3_shuffle_50,,0.508,
Q3_shuffle_8,,1.031,
Q4_top20_routes,24.029,4.904,4.049
Q5_moving_avg,26.934,5.804,4.699
Q6_cumulative,25.827,5.233,4.623
Q7_rank,28.657,5.59,4.511
Q8_subquery,32.224,7.791,7.229
Q9_broadcast_join,30.949,8.731,8.365
