query,api,seconds,rows
Partition_fullscan,DataFrame,0.328,3000000
Partition_pruned,DataFrame,1.128,687860
Q1_filter,RDD,22.733,28379
Q1_filter,DataFrame,4.573,28379
Q1_filter,SQL,4.023,28379
Q10_sortmerge_join,RDD,38.773,372
Q10_sortmerge_join,DataFrame,8.853,372
Q10_sortmerge_join,SQL,8.198,372
Q11_root_cause,RDD,30.012,18
Q11_root_cause,DataFrame,4.394,18
Q11_root_cause,SQL,3.688,18
Q12_anomaly,RDD,35.298,52797
Q12_anomaly,DataFrame,6.366,52660
Q12_anomaly,SQL,5.082,52660
Q2_aggregate,RDD,27.175,18
Q2_aggregate,DataFrame,4.341,18
Q2_aggregate,SQL,3.563,18
Q2_cache_cold,DataFrame,5.082,
Q2_cache_warm,DataFrame,0.376,
Q3_format_csv,DataFrame,5.82,
Q3_format_parquet,DataFrame,1.02,
Q3_multi_group,RDD,26.627,24911
Q3_multi_group,DataFrame,5.065,24939
Q3_multi_group,SQL,4.825,24911
Q3_shuffle_200,DataFrame,0.52,
Q3_shuffle_400,DataFrame,0.575,
Q3_shuffle_50,DataFrame,0.508,
Q3_shuffle_8,DataFrame,1.031,
Q4_top20_routes,RDD,24.029,20
Q4_top20_routes,DataFrame,4.904,20
Q4_top20_routes,SQL,4.049,20
Q5_moving_avg,RDD,26.934,28336
Q5_moving_avg,DataFrame,5.804,28336
Q5_moving_avg,SQL,4.699,28336
Q6_cumulative,RDD,25.827,28355
Q6_cumulative,DataFrame,5.233,28355
Q6_cumulative,SQL,4.623,28355
Q7_rank,RDD,28.657,933
Q7_rank,DataFrame,5.59,933
Q7_rank,SQL,4.511,933
Q8_subquery,RDD,32.224,8
Q8_subquery,DataFrame,7.791,8
Q8_subquery,SQL,7.229,8
Q9_broadcast_join,RDD,30.949,18
Q9_broadcast_join,DataFrame,8.731,18
Q9_broadcast_join,SQL,8.365,18
